ParticipantID,comf_community,comf_firefighter,comf_gun,comf_healthcare,comf_immigration,comf_media,comf_police,comf_religion,comf_science,comf_voting
11891127,7,7,3,5,2,6,5,6,5,5
11891134,1,7,2,6,6,1,2,1,7,6
11891136,5,7,3,7,4,6,6,6,7,7
11891140,4,6,3,6,2,6,6,3,5,5
11891143,4,7,7,5,4,4,5,7,7,7
11891147,6,5,5,5,5,6,6,5,6,5
11891153,6,6,6,6,6,6,6,6,6,6
11891158,6,6,5,7,5,2,6,2,7,7
11891169,5,7,5,7,7,5,5,6,7,7
11891173,7,7,7,6,7,7,7,6,7,7
11891181,7,5,1,7,5,6,6,6,6,6
11891187,7,7,1,7,7,7,6,7,7,7
11891198,7,7,7,4,6,2,6,2,7,6
11891203,1,1,1,1,1,1,1,1,1,1
11891206,4,7,4,7,4,6,7,7,7,7
11891212,7,7,7,7,7,7,7,7,7,7
11891216,7,7,4,7,4,5,4,5,7,5
11891217,1,7,1,7,5,2,1,3,2,1
11891218,7,7,7,7,7,3,7,7,3,5
11891220,7,7,6,6,6,7,7,7,7,7
11891228,2,5,5,5,5,3,3,3,5,2
11891231,6,6,3,7,3,3,4,6,7,7
11891232,7,7,7,7,7,7,7,7,7,7
11891245,6,7,1,6,3,4,7,5,5,4
11891249,7,7,7,7,6,5,7,6,7,7
11891261,7,6,5,6,3,1,3,2,6,5
11891267,7,7,4,7,7,7,7,7,7,7
11891268,5,7,5,6,3,6,5,5,7,7
11891269,7,7,7,7,7,7,7,7,7,7
11891270,4,6,1,1,6,1,2,1,7,5
11891274,5,6,2,5,3,3,2,5,7,3
11891279,7,7,7,7,7,3,6,3,7,7
11891280,6,7,7,7,7,5,5,6,6,7
11891291,5,6,3,6,3,1,3,3,6,1
11891314,7,7,7,7,7,7,7,7,7,7
11891322,5,7,3,4,5,1,4,2,7,7
11891325,4,6,6,5,5,6,4,6,5,4
11891335,5,5,5,3,6,5,4,3,6,3
11891337,2,5,2,5,3,2,2,2,6,7
11891341,7,7,7,7,7,7,7,7,7,7
11891344,6,7,7,6,7,7,7,6,6,7
11891725,5,7,6,6,4,6,6,6,6,7
11891726,6,7,3,7,4,5,5,7,7,7
11891727,6,7,1,7,2,3,6,7,7,7
11891728,7,6,6,3,3,5,5,2,6,3
11891730,6,6,2,7,5,6,3,7,7,7
11891731,6,6,6,6,6,6,6,6,6,6
11891732,7,7,3,6,2,4,5,5,7,7
11891742,7,7,5,7,7,7,7,7,7,7
11891758,5,6,2,7,5,2,2,7,7,5
11891759,1,7,7,7,7,1,2,7,7,4
11891762,6,5,1,7,1,1,3,7,3,7
11891770,7,7,3,5,5,3,3,7,3,3
11891777,6,5,5,7,7,3,3,6,6,6
11891787,7,6,3,6,4,4,3,3,6,4
11891793,4,4,4,4,3,4,4,4,4,5
