,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
191,11890310,7,34,Yes,Female,Female,0,0,1,0,0,0,Accountant,11206,11206,11203,"More than $78,000",9,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
193,11890312,9,24,Yes,Male,Male,0,0,1,0,0,0,retailer,10002,10002,30002,"$56,000-$78,000",3,Married,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,11,,,
194,11890313,1,20,Yes,Male,Male,0,0,1,0,0,0,Front-end Developer,10118,10118,10119,"Less than $25,000",6,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
195,11890314,1,24,Yes,Female,Female,0,0,1,0,0,0,Financial analyst,30334,30334,30334,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
196,11890319,6,25,Yes,Female,Female,0,0,0,0,0,1,Orbital Analyst,30601,30549,37923,"Less than $25,000",4,__other,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,deceased,,
197,11890320,10,24,Yes,Female,Female,0,0,1,0,0,0,HR,90012,90012,90012,"More than $78,000",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
198,11890323,3,24,Yes,Male,Male,0,0,1,0,0,0,Admin staff,55421,55421,55421,"More than $78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
199,11890324,9,40,Yes,Female,Female,0,0,1,0,0,0,Customer Service Representative,37421,37411,37421,"$25,001-$40,499",4,Divorced and remarried (one),Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,2,,,
200,11890327,7,33,Yes,Female,Female,0,0,0,0,0,1,Software Developer,67025,67025,67025,"$25,001-$40,499",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
201,11890328,9,24,Yes,Male,Male,0,0,1,0,0,0,sales,10001,10001,30002,"$56,000-$78,000",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,1,,,
202,11890329,11,42,Yes,Female,Female,0,0,1,0,0,0,Business Owner,20783,20783,10065,"$45,500-$55,999",3,Married,Highschool degree,Master's degree,"More than $80,000",Married,1,,,
203,11890330,3,34,Yes,Female,Female,0,0,1,0,0,0,self employeed ,27522,27522,27514,"$56,000-$78,000",4,Never married,Bachelor's degree (4 years of college),Master's degree,"$12,501-$22,499",Single,0,,,
204,11890331,8,27,Yes,Male,Male,0,0,1,0,0,0,finance,30303,30303,30303,"$45,500-$55,999",5,Married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Married,2,,,
205,11890334,11,25,Yes,Male,Male,0,0,1,0,0,0,Web Developer,20136,20136,20111,"More than $78,000",6,Widowed,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
206,11890337,8,27,Yes,Male,Male,0,0,1,0,0,0,Manager,89002,89001,20500,"$56,000-$78,000",6,Married,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
