,Metric,Obvserved,Null_Mean,Null_Std,Permutation p-val,itemID
129,pr_auc,0.9313392105789119,0.8844829093794788,0.01092093574394778,9.999000099990002e-05,5
130,brier,0.21532298962395074,0.2441478333861172,0.0034037183563843153,1.0,5
131,log_loss,0.6182251636278202,0.6812075261401069,0.0070531022516160695,1.0,5
132,accuracy,0.6086956521739131,0.5432223602484472,0.018378867310368897,0.00039996000399960006,6
133,precision_macro,0.6088477366255144,0.5433088368038063,0.018382639489176712,0.00039996000399960006,6
134,precision_micro,0.6086956521739131,0.5432223602484472,0.018378867310368897,0.00039996000399960006,6
135,precision_weighted,0.6100137174211248,0.5444331448057705,0.018377376302934414,0.00039996000399960006,6
136,recall_macro,0.6090909090909091,0.5432144861660079,0.018344494465047767,0.00029997000299970003,6
137,recall_micro,0.6086956521739131,0.5432223602484472,0.018378867310368897,0.00039996000399960006,6
138,recall_weighted,0.6086956521739131,0.5432223602484472,0.018378867310368897,0.00039996000399960006,6
139,f1_macro,0.6085278465107702,0.5424001548700048,0.018398574348635,0.00029997000299970003,6
140,f1_micro,0.6086956521739131,0.5432223602484472,0.018378867310368897,0.00039996000399960006,6
141,f1_weighted,0.6089137995359988,0.5429659959031935,0.018425269467508644,0.00039996000399960006,6
142,f1_class0,0.6004228329809725,0.5305174931730459,0.02377208448077687,0.0013998600139986002,6
143,f1_class1,0.6166328600405679,0.554282816566964,0.024164470521270878,0.0037996200379962005,6
144,precision_class0,0.5843621399176955,0.5196983687625542,0.018768419733346853,0.0010998900109989002,6
145,precision_class1,0.6333333333333333,0.5669193048450581,0.018525497997285454,0.0004999500049995,6
146,recall_class0,0.6173913043478261,0.5430491304347826,0.038490564372821515,0.030296970302969704,6
147,recall_class1,0.6007905138339921,0.5433798418972332,0.03778939756543762,0.0688931106889311,6
148,balanced_accuracy,0.6090909090909091,0.5432144861660079,0.018344494465047767,0.00029997000299970003,6
149,mcc,0.21793851005240178,0.08652282244220237,0.03672570673684978,0.00039996000399960006,6
150,roc_auc,0.6356676404880562,0.5603240548204159,0.018584839539426832,9.999000099990002e-05,6
151,pr_auc,0.6223189544096883,0.5794047320942664,0.019176088621928135,0.0168983101689831,6
152,brier,0.23645270481759842,0.24691072738364045,0.0017786497864310702,0.9998000199980002,6
153,log_loss,0.6655096502854462,0.6869204396648589,0.003612227589682253,0.9997000299970003,6
154,accuracy,0.5714285714285714,0.5447530020703932,0.020709638864257585,0.1075892410758924,7
155,precision_macro,0.5672700754975978,0.5411611742276993,0.017285932517011663,0.06529347065293471,7
156,precision_micro,0.5714285714285714,0.5447530020703932,0.020709638864257585,0.1075892410758924,7
157,precision_weighted,0.6155726051573683,0.5896904494306826,0.017106991927306497,0.06529347065293471,7
158,recall_macro,0.5745030595568394,0.5453842993424803,0.019054857671832993,0.06409359064093591,7
159,recall_micro,0.5714285714285714,0.5447530020703932,0.020709638864257585,0.1075892410758924,7
160,recall_weighted,0.5714285714285714,0.5447530020703932,0.020709638864257585,0.1075892410758924,7
161,f1_macro,0.558709421137422,0.530981024437233,0.0188701854674241,0.07169283071692831,7
162,f1_micro,0.5714285714285714,0.5447530020703932,0.020709638864257585,0.1075892410758924,7
163,f1_weighted,0.582131271063807,0.5556175543894845,0.020118819029184297,0.0908909109089091,7
164,f1_class0,0.4837905236907731,0.4521767597555284,0.022302690783902825,0.07589241075892411,7
165,f1_class1,0.6336283185840708,0.6097852891189377,0.025833243476123716,0.18148185181481852,7
166,precision_class0,0.4127659574468085,0.3859317707638518,0.018183054558193135,0.07179282071792821,7
167,precision_class1,0.7217741935483871,0.6963905776915468,0.01689592242167303,0.0683931606839316,7
168,recall_class0,0.5843373493975904,0.5474036144578313,0.04058738165179209,0.20177982201779823,7
169,recall_class1,0.5646687697160884,0.5433649842271294,0.03682787549758379,0.29887011298870114,7
170,balanced_accuracy,0.5745030595568394,0.5453842993424803,0.019054857671832993,0.06409359064093591,7
171,mcc,0.14158850859007743,0.08644178508950733,0.03629575216089529,0.06479352064793521,7
172,roc_auc,0.598314393219566,0.563411148379005,0.019322365104708552,0.0438956104389561,7
173,pr_auc,0.7252055496824044,0.7065568253338445,0.016795124046648017,0.13708629137086292,7
174,brier,0.24403866228131577,0.24660806397200472,0.001962461531362516,0.8965103489651035,7
175,log_loss,0.6814937985423137,0.6863010378282568,0.0039955778160990765,0.8845115488451155,7
176,accuracy,0.639751552795031,0.5434910973084885,0.01898872131053482,9.999000099990002e-05,8
177,precision_macro,0.6386554621848739,0.5427705078678814,0.018102302206085063,9.999000099990002e-05,8
178,precision_micro,0.639751552795031,0.5434910973084885,0.01898872131053482,9.999000099990002e-05,8
179,precision_weighted,0.6503992901508429,0.5547379523966489,0.018054815164649345,9.999000099990002e-05,8
180,recall_macro,0.6420514442336074,0.5436253188909972,0.018462605314761484,9.999000099990002e-05,8
181,recall_micro,0.639751552795031,0.5434910973084885,0.01898872131053482,9.999000099990002e-05,8
182,recall_weighted,0.639751552795031,0.5434910973084885,0.01898872131053482,9.999000099990002e-05,8
183,f1_macro,0.6371368864633346,0.5397848540892086,0.018510012240161806,9.999000099990002e-05,8
184,f1_micro,0.639751552795031,0.5434910973084885,0.01898872131053482,9.999000099990002e-05,8
185,f1_weighted,0.6419198126798524,0.5457371741640039,0.018874922347576952,9.999000099990002e-05,8
186,f1_class0,0.6063348416289592,0.5014519128075277,0.02283328983311299,9.999000099990002e-05,8
187,f1_class1,0.6679389312977099,0.5781177953708898,0.02500809573289631,0.00019998000199980003,8
188,precision_class0,0.5630252100840336,0.4657001651026183,0.018706821378898963,9.999000099990002e-05,8
